,precision,recall,f1-score,support
0,0.7246376811594203,0.8771929824561403,0.7936507936507936,456.0
1,0.7395348837209302,0.5112540192926045,0.6045627376425855,311.0
accuracy,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7288135593220338
macro avg,0.7320862824401753,0.6942235008743725,0.6991067656466896,767.0
weighted avg,0.7306781374783635,0.7288135593220338,0.7169801477335149,767.0
